T,Open,High,Low,Close,Volume BTC,Volume USD,BV,C,H,L,O,V,P
2014-07-01,637.07,657.83,634.16,650.0,12.04,7743.93,7.73766409,0.01235002,0.01399997,0.01235,0.01370002,574.10838378,0.0
2014-07-02,650.0,658.87,638.0,645.77,25.77,16708.02,9.30415548,0.012531,0.013000000000000001,0.01216163,0.01221265,742.57730306,0.0
2014-07-03,645.77,655.08,638.89,647.55,6.04,3895.56,3.0855096,0.012714,0.01274299,0.012207,0.012531,245.88253777,0.0
2014-07-04,647.55,655.0,622.6,635.25,10.3,6682.0,10.43649236,0.011559,0.01274399,0.011559,0.0125,840.20613954,0.25
2014-07-05,635.25,635.25,618.0,628.99,3.74,2329.89,4.26426903,0.01152,0.01191099,0.01075822,0.011559,369.48656745,0.25
2014-07-06,628.99,652.78,628.99,629.1,2.25,1437.44,4.84084015,0.011168,0.01166399,0.010849,0.01166399,435.00394596,0.25
2014-07-07,629.1,638.97,614.74,625.99,6.47,4034.36,8.20589886,0.012331,0.012331,0.010849,0.01112,695.13521222,0.0
2014-07-08,625.99,626.87,614.74,617.04,1.44,891.92,46.70120717,0.012421,0.0135,0.012,0.012302,3813.97721348,0.0
2014-07-09,617.04,627.9,615.35,627.9,1.63,1024.38,7.98537544,0.012449,0.0135,0.012421,0.012421,624.84879515,0.0
2014-07-10,627.9,632.11,614.47,614.47,0.6427,399.83,4.80252949,0.01259,0.01292399,0.0121,0.01244501,382.37934272,0.0
2014-07-11,614.47,629.46,614.47,629.46,1.5,940.17,3.42683692,0.012519,0.01299399,0.01229801,0.012511,269.92292050000003,0.0
2014-07-12,629.46,639.34,629.46,632.0,0.6899,436.56,10.92635505,0.013677000000000002,0.013997,0.0122,0.012354,816.45892264,0.0
2014-07-13,632.0,653.49,625.29,626.5,1.05,662.66,6.73808953,0.014302200000000003,0.01475624,0.013539,0.01361101,469.60174126,0.0
2014-07-14,626.5,632.67,618.14,626.23,1.34,836.35,4.1781725,0.014,0.0145,0.013683,0.01442,298.26196662,0.0
2014-07-15,626.23,626.23,620.03,620.03,0.18,111.6,11.87645242,0.01415498,0.0142,0.013651,0.014,845.6084432,0.0
2014-07-16,620.03,626.16,612.9,625.22,7.41,4575.51,3.15123141,0.01346885,0.014078,0.013466999999999998,0.013883,231.64832098,0.0
2014-07-17,625.22,630.01,610.35,624.98,0.9631,593.83,6.63276119,0.01475624,0.01475624,0.01340901,0.01346801,482.13104863,0.0
2014-07-18,624.98,629.0,615.17,626.0,12.29,7601.8,3.60252935,0.01403001,0.01449599,0.01385,0.01426897,255.41080971,0.0
